setpoint,RPS,adjust,acc_x,acc_y
0,0.0,0,-97.8,9.8
0,0.0,0,-97.3,16.1
0,0.0,0,-97.8,5.4
0,0.0,0,-109.6,29.3
0,0.0,0,-88.6,14.2
0,0.0,0,-90.7,-11.3
0,0.0,0,-92.7,13.2
0,0.0,0,-83.5,20.0
0,0.0,0,-96.3,6.3
0,0.0,0,-94.3,7.8
0,0.0,0,-91.2,17.6
0,0.0,0,-97.3,18.1
0,0.0,0,-97.8,10.7
0,0.0,0,-84.0,-1.5
0,0.0,0,-103.5,0.5
0,0.0,0,-91.2,11.7
0,0.0,0,-92.2,-7.2
0,0.0,0,-90.7,16.6
0,0.0,0,-99.4,10.7
0,0.0,0,-83.5,3.9
0,0.0,0,-93.3,2.9
0,0.0,0,-90.2,12.2
0,0.0,0,-81.5,14.2
6,0.0,6,-82.5,7.3
6,0.0,6,-91.2,8.8
6,0.0,6,-44.1,-19.10
6,0.0,6,-1156.8,440.9
6,0.0,6,643.6,49.3
6,0.0,6,-71.2,-705.9
6,0.0,6,515.1,345.2
6,0.0,6,421.4,-969.8
6,1.3,6,1149.4,727.1
6,1.3,6,127.4,-224.9
6,2.7,6,975.1,-154.7
6,2.7,6,1838.4,-1450.8
6,4.0,6,108.4,-647.5
6,5.3,6,-630.1,1288.1
6,5.3,6,1003.9,-1106.1
6,6.7,6,1185.1,-1381.7
6,6.7,6,860.8,-615.3
6,6.7,6,-628.1,864.3
6,6.7,6,248.0,780.8
6,8.0,6,1290.5,-387.8
6,6.7,6,-50.7,-1099.4
6,6.7,6,1362.3,385.7
6,8.0,6,-311.10,-420.6
6,6.7,6,-66.6,-944.2
6,5.3,6,440.4,984.4
6,5.3,6,487.3,80.6
6,5.3,6,-668.5,-638.3
6,5.3,6,-1178.8,-792.0
6,6.7,6,-1163.4,1319.3
6,6.7,6,-652.7,-79.9
6,6.7,6,145.10,730.5
6,8.0,6,291.10,568.4
6,9.3,6,892.6,421.9
6,10.7,6,-1159.8,-794.1
6,9.3,6,351.1,428.7
6,9.3,6,-184.9,-214.2
6,9.3,6,-34.8,-1032.3
6,8.0,6,-969.3,288.1
6,8.0,6,233.9,-291.10
6,8.0,6,-338.6,101.6
6,8.0,6,492.7,-319.2
6,8.0,6,1999.9,-862.2
6,9.3,6,-271.0,-612.7
6,9.3,6,-501.0,86.4
6,9.3,6,-333.10,-1147.1
6,10.7,6,1277.8,-255.6
6,10.7,6,457.0,-110.2
6,10.7,6,562.10,416.5
6,9.3,6,-914.4,510.7
6,9.3,6,289.1,1073.2
6,9.3,6,-308.9,-395.10
6,10.7,6,1999.9,1135.7
6,10.7,6,1948.2,927.2
6,10.7,6,-815.6,-177.8
6,10.7,6,775.4,256.3
6,12.0,6,-258.2,178.7
6,12.0,6,1203.1,-852.9
6,12.0,6,130.4,-356.6
6,12.0,6,-1012.8,1000.5
6,10.7,6,-1109.6,-371.9
6,10.7,6,-743.3,-370.4
6,12.0,6,323.2,1364.7
6,12.0,6,-706.9,-264.4
6,10.7,6,338.9,-464.2
6,13.3,6,1999.9,-249.10
6,13.3,6,-270.10,-778.7
6,12.0,6,1025.4,-865.8
6,12.0,6,612.8,193.8
6,12.0,6,1075.7,-675.2
6,12.0,6,832.0,-421.1
6,12.0,6,-1999.0,556.2
6,12.0,6,-1936.5,-334.5
6,12.0,6,751.5,453.1
6,12.0,6,-663.4,-178.3
6,13.3,6,-160.4,-192.1
6,12.0,6,-3.6,97.2
6,13.3,6,226.1,819.3
6,12.0,6,-320.2,709.10
6,13.3,6,-1179.8,-69.2
6,13.3,6,-953.4,1324.2
6,13.3,6,-33.8,304.7
6,13.3,6,-598.4,270.0
6,13.3,6,-1999.0,1999.9
6,13.3,6,999.10,-60.9
6,13.3,6,108.9,803.7
6,14.7,6,197.8,-1999.0
6,13.3,6,131.3,-13.3
6,14.7,6,-951.3,92.8
6,13.3,6,-629.6,-746.4
6,13.3,6,31.7,189.5
6,13.3,6,-1050.7,766.6
6,14.7,6,1906.7,-715.2
6,13.3,6,-1672.1,-1790.5
6,13.3,6,-1419.1,-514.4
6,14.7,6,-1999.0,450.7
6,13.3,6,-284.8,127.4
6,14.7,6,247.6,-1606.1
6,14.7,6,-1796.6,1515.6
6,13.3,6,588.9,513.7
6,14.7,6,-508.2,-1095.8
6,14.7,6,-179.3,-658.8
6,14.7,6,211.9,-439.5
6,14.7,6,349.6,-600.9
6,14.7,6,-606.6,658.2
6,14.7,6,1198.2,-181.4
6,13.3,6,74.2,1155.3
6,14.7,6,548.3,1214.8
6,14.7,6,1112.3,483.4
6,16.0,6,74.2,1999.9
6,14.7,6,1070.8,-20.5
6,14.7,6,-1149.6,1999.9
6,14.7,6,-1096.3,-1401.1
6,13.3,6,1999.9,-1424.2
6,14.7,6,473.1,-1999.0
6,16.0,6,-1625.0,-272.5
6,16.0,6,-262.3,1999.9
6,14.7,6,608.9,-447.2
6,16.0,6,-111.7,-1542.5
6,14.7,6,1594.2,1999.9
6,14.7,6,-610.6,-172.1
6,14.7,6,1178.2,333.0
6,16.0,6,169.4,-10.7
6,16.0,6,-321.2,24.4
6,16.0,6,615.2,1374.10
6,16.0,6,-870.4,-122.9
6,16.0,6,-939.5,1231.4
6,14.7,6,111.3,-980.5
6,16.0,6,272.5,-98.4
6,17.3,6,767.1,-666.10
6,16.0,6,-1999.0,0.5
6,16.0,6,-1405.2,-1539.4
6,16.0,6,-1999.0,1781.2
6,16.0,6,-1956.9,1999.9
6,13.3,6,416.10,-560.5
6,16.0,6,-827.4,-1341.2
6,16.0,6,1020.0,-95.8
6,16.0,6,-303.3,-806.4
6,17.3,6,-1262.8,-1968.3
6,16.0,6,739.7,574.7
6,14.7,6,-1999.0,852.5
6,14.7,6,1124.5,-813.0
6,17.3,6,-1049.2,-499.5
6,17.3,6,587.4,-308.4
0,16.0,-29,-141.9,771.5
0,16.0,-29,-1728.5,-41.0
0,16.0,-30,606.9,-1911.4
0,14.7,-28,-1999.0,-1999.0
0,16.0,-30,87.9,413.1
0,17.3,-30,1999.9,-534.8
0,17.3,-30,-1999.0,806.2
0,16.0,-30,-999.5,-827.4
0,17.3,-30,-83.5,-582.5
0,14.7,-30,-195.7,43.5
0,13.3,-29,-679.8,-894.10
0,13.3,-29,-1776.6,-275.6
0,10.7,-25,-1378.1,-280.7
0,9.3,-23,-1914.9,198.7
0,8.0,-20,139.6,-119.9
0,8.0,-21,-945.7,262.7
0,6.7,-18,-1996.4,-465.7
0,8.0,-21,-854.10,28.3
0,8.0,-21,3.4,-263.8
0,9.3,-24,335.9,795.9
0,10.7,-27,-471.3,928.2
0,10.7,-27,-519.10,97.7
0,9.3,-25,-1369.4,-428.8
0,9.3,-25,-1818.2,317.4
0,8.0,-23,-1896.0,-610.6
0,6.7,-21,-1270.5,-166.5
0,5.3,-19,-1223.4,222.2
0,4.0,-16,-1141.9,-91.2
0,2.7,-14,-928.8,35.2
0,1.3,-12,-944.7,-258.2
0,2.7,-14,-812.0,27.8
0,1.3,-12,-608.1,156.3
0,1.3,-12,-589.2,237.3
0,1.3,-12,-411.9,132.3
0,1.3,-12,-291.0,182.1
0,1.3,-12,-217.2,18.6
0,1.3,-12,-114.7,70.3
0,1.3,-12,-70.2,94.7
0,0.0,-10,-16.9,-14.4
0,0.0,-10,5.4,21.5
0,0.0,-10,8.8,29.8
0,0.0,-10,37.1,11.2
0,0.0,-10,55.2,22.9
0,0.0,-10,42.10,59.6
0,0.0,-10,42.5,68.8
0,0.0,-10,37.1,45.9
0,0.0,-10,-7.2,4.9
0,0.0,-10,-47.6,8.3
0,0.0,-10,-97.3,5.9
0,0.0,-10,-108.6,-18.9
0,0.0,-10,-108.6,9.3
0,0.0,-10,-93.3,0.0
0,0.0,-10,-65.1,7.3
0,0.0,-10,-37.9,15.1
0,0.0,-10,-35.4,12.7
0,0.0,-10,-59.4,11.2
0,0.0,-10,-76.8,14.2
0,0.0,-10,-80.9,12.7
0,0.0,-10,-83.0,17.1
0,0.0,-10,-82.5,17.6
0,0.0,-10,-61.5,2.4
0,0.0,-10,-68.2,21.10
0,0.0,-10,-76.3,9.3
0,0.0,-10,-67.1,12.2
0,0.0,-10,-80.4,11.7
0,0.0,-10,-67.6,5.9
0,0.0,-10,-68.6,9.3
0,0.0,-10,-82.5,10.7
0,0.0,-10,-67.6,-13.8
0,0.0,-10,-67.6,8.3
0,0.0,-10,-58.9,4.9
0,0.0,-10,-65.6,-3.6
0,0.0,-10,-77.4,7.8
0,0.0,-10,-69.7,2.9
0,0.0,-10,-74.3,4.9
