setpoint, RPS, adjust, acc_x, acc_y
0, 0.0, 0, -83.10, 10.3
0, 0.0, 0, -97.8, 7.3
0, 0.0, 0, -91.7, 4.4
0, 0.0, 0, -87.1, 14.6
0, 0.0, 0, -82.5, 17.6
0, 0.0, 0, -91.7, 10.7
0, 0.0, 0, -97.3, 13.7
0, 0.0, 0, -83.0, 23.9
0, 0.0, 0, -86.1, 12.2
0, 0.0, 0, -90.2, 5.9
0, 0.0, 0, -82.10, 13.2
0, 0.0, 0, -89.2, 6.8
0, 0.0, 0, -84.0, 12.2
0, 0.0, 0, -93.7, 19.5
0, 0.0, 0, -93.3, 19.5
0, 0.0, 0, -92.2, 22.9
0, 0.0, 0, -84.0, 15.6
0, 0.0, 0, -84.5, 2.9
0, 0.0, 0, -87.1, 4.9
0, 0.0, 0, -93.7, 14.6
0, 0.0, 0, -79.4, 12.7
0, 0.0, 0, -83.0, 13.2
0, 0.0, 0, -82.10, 18.1
0, 0.0, 0, -89.6, 29.3
0, 0.0, 0, -86.6, -1.5
0, 0.0, 0, -87.1, 13.2
0, 0.0, 0, -86.1, 21.5
0, 0.0, 0, -81.9, 14.6
0, 0.0, 0, -79.4, 22.5
0, 0.0, 0, -79.9, 10.7
0, 0.0, 0, -97.8, 11.2
0, 0.0, 0, -78.4, 33.2
0, 0.0, 0, -85.1, 15.6
0, 0.0, 0, -82.10, 14.2
0, 0.0, 0, -82.10, 14.2
0, 0.0, 0, -83.5, 24.4
0, 0.0, 0, -88.6, 23.9
0, 0.0, 0, -86.6, 14.6
0, 0.0, 0, -84.5, 0.5
0, 0.0, 0, -80.4, 18.1
0, 0.0, 0, -81.5, 16.1
0, 0.0, 0, -89.6, 14.2
0, 0.0, 0, -70.7, 12.2
0, 0.0, 0, -86.1, 12.7
0, 0.0, 0, -73.3, 20.5
12, 0.0, 12, -93.3, 24.4
12, 0.0, 12, -94.3, 18.1
12, 0.0, 12, -60.9, 0.5
12, 0.0, 12, 1999.9, -1999.0
12, 0.0, 12, 1453.1, 113.3
12, 0.0, 12, -192.1, -226.4
12, 1.3, 12, 585.9, 286.6
12, 1.3, 12, -993.8, 367.7
12, 2.7, 12, -277.7, -1200.3
12, 4.0, 12, 1815.9, -729.0
12, 5.3, 12, 1444.8, 374.10
12, 6.7, 12, 352.1, 199.7
12, 9.3, 12, 191.9, 574.2
12, 10.7, 12, -9.7, -830.4
12, 10.7, 12, 647.5, 537.6
12, 12.0, 12, -1999.0, -1340.2
12, 12.0, 12, -306.8, 832.0
12, 10.7, 12, -1224.9, -49.7
12, 12.0, 12, -1695.7, -1128.6
12, 12.0, 12, 280.3, 571.3
12, 12.0, 12, 220.7, -438.5
12, 12.0, 12, 50.3, 177.7
12, 13.3, 12, 703.6, 1668.5
12, 13.3, 12, -1732.1, 537.6
12, 13.3, 12, 616.7, -114.7
12, 13.3, 12, 175.3, -816.1
12, 12.0, 12, 1101.1, 751.10
12, 13.3, 12, 1999.9, 1550.3
12, 12.0, 12, 844.7, -131.7
12, 13.3, 12, 747.6, 121.1
12, 12.0, 12, 1049.3, -651.6
12, 13.3, 12, 661.6, 584.5
12, 13.3, 12, -1189.1, -893.4
12, 13.3, 12, 1128.4, 1063.5
12, 13.3, 12, -130.6, -697.2
12, 13.3, 12, 561.5, 257.3
12, 14.7, 12, 948.2, 124.10
12, 13.3, 12, 781.7, -1264.4
12, 14.7, 12, 89.4, 73.2
12, 13.3, 12, 37.6, -216.2
12, 13.3, 12, -989.3, -841.2
12, 14.7, 12, 1795.4, -772.5
12, 14.7, 12, 481.4, 132.8
12, 14.7, 12, 862.3, -537.4
12, 14.7, 12, -911.9, -1166.0
12, 14.7, 12, 1020.0, -955.4
12, 14.7, 12, 524.4, 1628.9
12, 14.7, 12, 497.1, 1233.9
12, 14.7, 12, 1240.2, 1999.9
12, 16.0, 12, 922.9, -176.2
12, 16.0, 12, 718.3, 1499.0
12, 16.0, 12, 346.2, 381.3
12, 16.0, 12, 846.7, 142.1
12, 17.3, 12, 1458.0, -645.10
12, 14.7, 12, -1673.7, 1577.1
12, 16.0, 12, 724.6, -410.8
12, 17.3, 12, -1410.8, 1027.8
12, 17.3, 12, -308.9, 651.9
12, 18.7, 12, 1277.8, -1354.0
12, 17.3, 12, 431.2, -900.1
12, 16.0, 12, 711.9, -803.3
12, 16.0, 12, 773.4, -865.3
12, 18.7, 12, 499.0, -1173.2
12, 18.7, 12, -442.1, -328.4
12, 18.7, 12, -776.6, -242.8
12, 18.7, 12, -973.4, -610.2
12, 16.0, 12, -1669.1, -17.4
12, 17.3, 12, 1999.9, -213.1
12, 20.0, 12, -174.2, 179.7
12, 20.0, 12, 408.2, -1389.8
12, 20.0, 12, 1999.9, -1480.0
12, 18.7, 12, -714.2, 1999.9
12, 17.3, 12, -982.1, 635.3
12, 18.7, 12, 644.5, -148.6
12, 21.3, 12, -1999.0, 1431.2
12, 21.3, 12, -979.0, -688.5
12, 20.0, 12, -416.5, -455.9
12, 18.7, 12, 1629.4, 1279.3
12, 18.7, 12, 1867.7, -1308.4
12, 21.3, 12, -738.7, -155.7
12, 22.7, 12, 461.4, 707.0
12, 21.3, 12, -1600.4, 514.2
12, 18.7, 12, -170.1, 882.3
12, 20.0, 12, -1524.1, -1397.1
12, 20.0, 12, -574.8, -160.4
12, 22.7, 12, 1999.9, -260.3
12, 22.7, 12, 763.2, 609.9
12, 18.7, 12, 1999.9, -499.5
12, 20.0, 12, 1546.4, 1065.4
12, 20.0, 12, -432.9, 1085.9
12, 24.0, 12, -256.2, 1895.10
12, 22.7, 12, 1999.9, -551.2
12, 21.3, 12, -1002.6, -1983.6
12, 20.0, 12, -1999.0, 272.5
12, 21.3, 12, 1999.9, 535.6
12, 24.0, 12, 776.4, -1915.10
12, 22.7, 12, -944.7, -1145.0
12, 21.3, 12, 246.6, 406.2
12, 21.3, 12, -327.9, 1675.3
12, 21.3, 12, -557.9, 981.9
12, 24.0, 12, -1062.0, -270.0
12, 22.7, 12, 1999.9, -1312.5
12, 21.3, 12, 133.8, -1999.0
12, 22.7, 12, -1819.2, -1999.0
12, 22.7, 12, -1617.8, -1999.0
12, 24.0, 12, 1253.4, -395.0
12, 21.3, 12, 1021.10, -967.7
12, 22.7, 12, 1570.8, -967.7
0, 22.7, -30, -241.3, 328.1
0, 24.0, -30, 856.4, -244.4
0, 24.0, -30, -1122.9, 738.8
0, 22.7, -30, -1696.2, 49.3
0, 22.7, -30, 1760.3, -1258.7
0, 24.0, -30, 565.4, -1554.3
0, 25.3, -30, -999.10, -498.10
0, 22.7, -30, -1135.3, -50.2
0, 20.0, -30, -1999.0, -768.9
0, 18.7, -30, 262.2, 1208.5
0, 17.3, -30, -1910.4, -534.8
0, 16.0, -30, -1755.1, 533.2
0, 14.7, -30, 1355.10, 60.5
0, 12.0, -30, -648.1, 709.10
0, 10.7, -28, -1999.0, -1094.8
0, 10.7, -28, -1999.0, -1817.1
0, 9.3, -26, -1999.0, 402.8
0, 9.3, -26, -1999.0, 651.9
0, 8.0, -24, -1999.0, -1051.2
0, 6.7, -22, -1999.0, -1471.8
0, 5.3, -20, -1999.0, -292.0
0, 5.3, -20, -1999.0, -716.2
0, 4.0, -17, -1586.1, -219.8
0, 2.7, -15, -989.3, 195.8
0, 2.7, -15, -932.4, 252.9
0, 1.3, -13, -790.10, 194.3
0, 1.3, -13, -399.1, 116.7
0, 1.3, -13, -403.7, 293.9
0, 1.3, -13, -267.9, 269.5
0, 1.3, -13, -216.2, 315.9
0, 1.3, -13, -186.5, 341.8
0, 1.3, -13, -168.5, 338.9
0, 1.3, -13, -199.3, 476.1
0, 1.3, -13, -89.2, 369.1
0, 1.3, -13, -21.0, 356.9
0, 1.3, -13, -16.4, 282.7
0, 1.3, -13, -4.1, -7.7
0, 0.0, -11, 8.8, -10.3
0, 0.0, -11, 8.8, -32.8
0, 0.0, -11, 13.2, -21.0
0, 0.0, -11, -24.6, 48.8
0, 0.0, -11, -21.5, 7.3
0, 0.0, -11, -80.9, -12.3
0, 0.0, -11, -71.7, 34.2
0, 0.0, -11, -89.2, 9.8
0, 0.0, -11, -113.2, 77.6
0, 0.0, -11, -126.5, -33.3
0, 0.0, -11, -90.2, -32.8
0, 0.0, -11, -25.1, 28.3
0, 0.0, -11, -72.7, -2.1
0, 0.0, -11, -55.3, -3.6
0, 0.0, -11, -52.3, 17.1
0, 0.0, -11, -44.1, -3.6
