0: value: 970, count: 0, RPS: 0.00
1: value: 774, count: 0, RPS: 0.00
0: value: 969, count: 0, RPS: 0.00
1: value: 774, count: 0, RPS: 0.00
0: value: 996, count: 8, RPS: 10.67
1: value: 494, count: 7, RPS: 9.33
0: value: 986, count: 26, RPS: 34.67
1: value: 313, count: 25, RPS: 33.33
0: value: 995, count: 26, RPS: 34.67
1: value: 966, count: 26, RPS: 34.67
0: value: 994, count: 25, RPS: 33.33
1: value: 38, count: 25, RPS: 33.33
0: value: 1002, count: 26, RPS: 34.67
1: value: 599, count: 26, RPS: 34.67
0: value: 992, count: 25, RPS: 33.33
1: value: 660, count: 24, RPS: 32.00
0: value: 999, count: 25, RPS: 33.33
1: value: 796, count: 25, RPS: 33.33
0: value: 1005, count: 25, RPS: 33.33
1: value: 864, count: 26, RPS: 34.67
0: value: 997, count: 25, RPS: 33.33
1: value: 949, count: 25, RPS: 33.33
0: value: 1001, count: 25, RPS: 33.33
1: value: 999, count: 26, RPS: 34.67
0: value: 1006, count: 25, RPS: 33.33
1: value: 1005, count: 25, RPS: 33.33
0: value: 969, count: 25, RPS: 33.33
1: value: 1014, count: 25, RPS: 33.33
0: value: 989, count: 25, RPS: 33.33
1: value: 1010, count: 25, RPS: 33.33
0: value: 968, count: 25, RPS: 33.33
1: value: 1008, count: 25, RPS: 33.33
0: value: 880, count: 25, RPS: 33.33
1: value: 1011, count: 25, RPS: 33.33
0: value: 776, count: 25, RPS: 33.33
1: value: 1008, count: 25, RPS: 33.33
0: value: 825, count: 25, RPS: 33.33
1: value: 1004, count: 25, RPS: 33.33
0: value: 691, count: 25, RPS: 33.33
1: value: 997, count: 25, RPS: 33.33
0: value: 413, count: 25, RPS: 33.33
1: value: 1003, count: 26, RPS: 34.67
0: value: 1005, count: 25, RPS: 33.33
1: value: 875, count: 25, RPS: 33.33
0: value: 1006, count: 21, RPS: 28.00
1: value: 999, count: 22, RPS: 29.33
0: value: 180, count: 19, RPS: 25.33
1: value: 1003, count: 18, RPS: 24.00
0: value: 961, count: 15, RPS: 20.00
1: value: 1014, count: 15, RPS: 20.00
0: value: 998, count: 12, RPS: 16.00
1: value: 187, count: 13, RPS: 17.33
0: value: 999, count: 10, RPS: 13.33
1: value: 96, count: 9, RPS: 12.00
0: value: 187, count: 8, RPS: 10.67
1: value: 997, count: 8, RPS: 10.67
0: value: 995, count: 6, RPS: 8.00
1: value: 847, count: 6, RPS: 8.00
0: value: 980, count: 4, RPS: 5.33
1: value: 900, count: 4, RPS: 5.33
0: value: 1000, count: 3, RPS: 4.00
1: value: 851, count: 2, RPS: 2.67
0: value: 994, count: 1, RPS: 1.33
1: value: 920, count: 2, RPS: 2.67
0: value: 986, count: 0, RPS: 0.00
1: value: 946, count: 0, RPS: 0.00
0: value: 1000, count: 0, RPS: 0.00
1: value: 668, count: 1, RPS: 1.33
0: value: 947, count: 0, RPS: 0.00
1: value: 908, count: 0, RPS: 0.00
0: value: 897, count: 0, RPS: 0.00
1: value: 1008, count: 0, RPS: 0.00
0: value: 954, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 967, count: 0, RPS: 0.00
1: value: 1004, count: 0, RPS: 0.00
