0: value: 922, count: 0, RPS: 0.00
1: value: 939, count: 0, RPS: 0.00
0: value: 922, count: 0, RPS: 0.00
1: value: 939, count: 0, RPS: 0.00
0: value: 922, count: 0, RPS: 0.00
1: value: 939, count: 0, RPS: 0.00
0: value: 852, count: 4, RPS: 5.33
1: value: 1008, count: 4, RPS: 5.33
0: value: 1007, count: 24, RPS: 32.00
1: value: 942, count: 24, RPS: 32.00
0: value: 995, count: 25, RPS: 33.33
1: value: 1014, count: 25, RPS: 33.33
0: value: 982, count: 25, RPS: 33.33
1: value: 1010, count: 25, RPS: 33.33
0: value: 952, count: 25, RPS: 33.33
1: value: 1007, count: 26, RPS: 34.67
0: value: 918, count: 25, RPS: 33.33
1: value: 1014, count: 26, RPS: 34.67
0: value: 828, count: 25, RPS: 33.33
1: value: 1008, count: 25, RPS: 33.33
0: value: 697, count: 25, RPS: 33.33
1: value: 1001, count: 25, RPS: 33.33
0: value: 421, count: 25, RPS: 33.33
1: value: 995, count: 25, RPS: 33.33
0: value: 365, count: 25, RPS: 33.33
1: value: 1004, count: 26, RPS: 34.67
0: value: 241, count: 25, RPS: 33.33
1: value: 1003, count: 25, RPS: 33.33
0: value: 114, count: 26, RPS: 34.67
1: value: 1001, count: 25, RPS: 33.33
0: value: 501, count: 25, RPS: 33.33
1: value: 999, count: 25, RPS: 33.33
0: value: 1000, count: 21, RPS: 28.00
1: value: 974, count: 20, RPS: 26.67
0: value: 1004, count: 1, RPS: 1.33
1: value: 1004, count: 1, RPS: 1.33
0: value: 1002, count: 1, RPS: 1.33
1: value: 990, count: 0, RPS: 0.00
0: value: 998, count: 0, RPS: 0.00
1: value: 1006, count: 0, RPS: 0.00
0: value: 998, count: 0, RPS: 0.00
1: value: 1008, count: 0, RPS: 0.00
0: value: 998, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1000, count: 0, RPS: 0.00
1: value: 1009, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1009, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1008, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1011, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1011, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1011, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1011, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1011, count: 0, RPS: 0.00
0: value: 1004, count: 0, RPS: 0.00
1: value: 1010, count: 0, RPS: 0.00
0: value: 759, count: 4, RPS: 5.33
1: value: 1003, count: 4, RPS: 5.33
0: value: 984, count: 24, RPS: 32.00
1: value: 365, count: 24, RPS: 32.00
0: value: 994, count: 26, RPS: 34.67
1: value: 423, count: 25, RPS: 33.33
0: value: 662, count: 26, RPS: 34.67
1: value: 980, count: 25, RPS: 33.33
0: value: 204, count: 25, RPS: 33.33
1: value: 1001, count: 25, RPS: 33.33
0: value: 642, count: 25, RPS: 33.33
1: value: 999, count: 25, RPS: 33.33
0: value: 693, count: 25, RPS: 33.33
1: value: 1007, count: 25, RPS: 33.33
0: value: 760, count: 25, RPS: 33.33
1: value: 1001, count: 25, RPS: 33.33
0: value: 814, count: 25, RPS: 33.33
1: value: 994, count: 25, RPS: 33.33
0: value: 912, count: 25, RPS: 33.33
1: value: 1007, count: 26, RPS: 34.67
0: value: 937, count: 25, RPS: 33.33
1: value: 1004, count: 25, RPS: 33.33
0: value: 992, count: 8, RPS: 10.67
1: value: 740, count: 9, RPS: 12.00
0: value: 997, count: 0, RPS: 0.00
1: value: 264, count: 1, RPS: 1.33
0: value: 993, count: 0, RPS: 0.00
1: value: 396, count: 1, RPS: 1.33
0: value: 994, count: 0, RPS: 0.00
1: value: 285, count: 0, RPS: 0.00
0: value: 993, count: 0, RPS: 0.00
1: value: 633, count: 1, RPS: 1.33
0: value: 995, count: 0, RPS: 0.00
1: value: 310, count: 0, RPS: 0.00
0: value: 998, count: 0, RPS: 0.00
1: value: 288, count: 0, RPS: 0.00
